2016#12.09.2016###Timisoara#####99.000 #440.728 #11.11.2016###http://www.romimo.ro/imobiliare/Apartamente/Apartamente-3-camere/Timis/Timisoara/anunt-4459672.html#
#12.09.2016###Timisoara#######11.11.2016###http://www.romimo.ro/imobiliare/Apartamente/Apartamente-1-camera/Timis/Timisoara/anunt-4500421.html#
#11.09.2016#1#Altele#Timisoara###1#1#1 #4 #10.11.2016###http://www.romimo.ro/imobiliare/Apartamente/Apartamente-1-camera/Timis/Timisoara/anunt-4508540.html#
#11.09.2016#2#Altele#Timisoara#####31.000 #138.006 #10.11.2016###http://www.romimo.ro/imobiliare/Apartamente/Apartamente-1-camera/Timis/Timisoara/anunt-4507806.html#ARADULUI
#11.09.2016##Altele#Timisoara####1#33.300 #148.245 #10.11.2016###http://www.romimo.ro/imobiliare/Apartamente/Garsoniera/Timis/Timisoara/anunt-4481730.html#
#11.09.2016#3#Altele#Timisoara##10#1#2#54.000 #240.397 #10.11.2016###http://www.romimo.ro/imobiliare/Apartamente/Apartamente-2-camere/Timis/Timisoara/anunt-4522765.html#Sagului
#11.09.2016#1#Altele#Timisoara##4#1#1#40.000 #178.072 #10.11.2016###http://www.romimo.ro/imobiliare/Apartamente/Apartamente-1-camera/Timis/Timisoara/anunt-4522764.html#Soarelui
#11.09.2016##Altele#Timisoara#####24.500 #109.069 #10.11.2016###http://www.romimo.ro/imobiliare/Apartamente/Apartamente-1-camera/Timis/Timisoara/anunt-4519532.html#
#11.09.2016##Altele#Timisoara#####100 #445 #10.11.2016###http://www.romimo.ro/imobiliare/Apartamente/Garsoniera/Timis/Timisoara/anunt-4522646.html#
#10.09.2016##Altele#Timisoara###1#1#1 #4 #09.11.2016###http://www.romimo.ro/imobiliare/Apartamente/Apartamente-1-camera/Timis/Timisoara/anunt-4522599.html#Complexul Studentesc
1973#10.09.2016#10#Centrala bloc#Timisoara###1#3#50.000 #222.590 #09.11.2016###http://www.romimo.ro/imobiliare/Apartamente/Apartamente-3-camere/Timis/Timisoara/anunt-4453152.html#Circumvalatiunii
1982#10.09.2016#1#Centrala proprie#Timisoara#75##2#3###09.11.2016###http://www.romimo.ro/imobiliare/Apartamente/Apartamente-3-camere/Timis/Timisoara/anunt-4333220.html#Soarelui
#10.09.2016###Timisoara#####1.000 #4.452 #09.11.2016###http://www.romimo.ro/imobiliare/Apartamente/Apartamente-2-camere/Timis/Timisoara/anunt-4520593.html#
