eur	mp	nrcamere	rap	title
0	0	0	0	[188]Ansamblul rezidential iHome Residence
60.5	0	2	0	[179]BA095 Lunei, mobilat si utilat complet, centrala proprie
47.5	106	3	448.11320754717	[169]Traian , suprafata generoasa , renovat, anvelopat
79	150	6	526.666666666667	[174]Central, complet renovat, pretabil spatiu de birouri
31.999	60	2	533.316666666667	[169]OCAZIE! Apartament 2 camere (60 mp), cladire din caramida, curte cu
75	140	4	535.714285714286	[193]Apartament spatios in zona Lunei, centrala proprie, garaj
105	185.92	7	564.759036144578	[218]Apartament E+Mansarda, 7 camere - str. Adam Muller Guttenbrun
50	88	3	568.181818181818	[203]ARADULUI, APARTAMENT 1 CAMERĂ+MANSARDĂ
40.009	70	2	571.557142857143	[178]vand apartament foarte spaţios 2 camere, centrală, complet mobilat
100	170	3	588.235294117647	[192]Pta Balcescu, 200mp, amenajat!
78	131	4	595.419847328244	[174]Dumbravita, apartament de lux, bloc nou!
70	115	3	608.695652173913	[174]Mobilat si utilat.La 5 min de Punctele Cardinale
134	220	4	609.090909090909	[179]Piata Romanilor , Apartament 4 camere LUX, 3 garaje
99	160	4	618.75	[237]De vanzare apartament pe 3 nivele zona Odobescu
25	40	0	625	[228]Balcescu, SU-40 mp, centrala termica
56	89	2	629.213483146067	[223]Iozefin, apartament la curte comuna, centrala termica
69.9	110	3	635.454545454545	[188]PROPRIETAR ! 4 Camere * 110 mp * pe 2 NIVELE * NOU
65	100	2	650	[159]100 mp utili. Piata Crucii.
70	107.14	5	653.350756020161	[188]Apartament 2 camere parter + 3 camera mansarda
49.5	74	2	668.918918918919	[228]De vanzare apartament in zona Centrala, Parcul Carmen Silva
27	40	0	675	[179]Piata Maria, demisol,SU 40 mp, amenajat
80	118	4	677.966101694915	[164]Decomandat. Centrala. Mobilat si utilat
36	53	2	679.245283018868	[159]2 CAMERE DECOMANDAT
74	106	4	698.11320754717	[179]Lunei 4 cam, parter, 106mp, 2 bai, 74.000euro! OCAZIE!!
56	80	3	700	[208]Iosefin,curte comuna,zona linistita
98	138	4	710.144927536232	[223]Piata Maria, 4 camere, cladireistorica
95	133	4	714.285714285714	[169]Zona Neptun-Medicina,excelent pentru investitie
75	105	3	714.285714285714	[218]Apartament P-ta Romanilor
68	95	4	715.789473684211	[203]Ocazie! 4 camere la pret de 3!
36	50	2	720	[218]Buziasului, centrala termica, constructie 2013
47	65	2	723.076923076923	[223]Apartament de vanzare in Piata Badea Cartan
59.9	82	2	730.487804878049	[218]De vanzare apartament cu 2 camere, la casa - zona Piata Balcescu
60	82	2	731.707317073171	[169]Semicentral, centrala termica, 82mp, 63000E
42	57	2	736.842105263158	[188]De vanzare ap 2 cam, Pta Unirii,mansarda inalta,50mp,
71	96	4	739.583333333333	[164]Dambovita, 4 camere, centrala termica
26	35	2	742.857142857143	[188]Vand ap 2 cam,parter,35mp,Zona Saguna,incalzire gaz
68	90	3	755.555555555556	[228]PUNCTELE CARDINALE,90 mp,centrala termica, garaj
110	145	4	758.620689655172	[237]Zona Neptun,spatios,confortabil,pozitie buna
76	100	3	760	[213]Apartament la casa situat in zona Take Ionescu
57	75	3	760	[159]Apartament la casa, zona centrala
99	130	4	761.538461538462	[223]Spatiu generos : 4 + 1 camera !! Centrala proprie!
55	72	2	763.888888888889	[198]Elisabetin, amenajat, disponibilitate imediata
52	68	3	764.705882352941	[164]Vanzare apartament 3 camere
75	98	4	765.30612244898	[193]Model Mare, Decomandat, Amenajat, Luminos
85	110	4	772.727272727273	[208]Fratelia, curte privata, amenajat, mobilat si utilat
58	75	3	773.333333333333	[188]Calea Sagului, 3 camere, centrala termica
105	135	3	777.777777777778	[164]Apartament tip penthouse
62.5	80	2	781.25	[179]Apartament 2 camere situat intr-o cladire istorica
47	60	3	783.333333333333	[213]Apartament 3 camere , zona Dambovita
63	80	4	787.5	[203]Circumvalatiunii, semidecomandat, 80 mp utili
45	57	2	789.473684210526	[237]Piata Traian,amenajat,mobilat,centrala termica
68	86	3	790.697674418605	[179]TAKE IONESCU,86 mp,3+1 camere,decomandat,mobilat si utilat
73	92	4	793.478260869565	[174]Dambovita,amenajat,centrala,etaj intermediar
62	78	3	794.871794871795	[227]Proprietar, vand apartament 3 camere decomandat Freidorf 62000 euro neg.
47.8	60	2	796.666666666667	[198]2cam, 60mp, decomandat, bloc nou, Giroc, Comision 0%!
135	169	4	798.816568047337	[179]4 Camere, bloc 2009 scara interioara.
43.999	55	2	799.981818181818	[159]Freidorf , decomandat , etaj 3 , spatios
72	90	3	800	[213]Timocului-Saguna,3 camere, 90 mp utili
60	75	3	800	[208]Model Mare.Centrala Proprie.
80	100	3	800	[169]Spatiu si confort in zona Iosefin
52	64.6	3	804.953560371517	[228]Etaj 1. Zona linistita.
199	247	5	805.668016194332	[174]Apartament 5 camere, 247 mp - Take Ionescu
12.9	16	0	806.25	[223]Vand apartament cu 1 cam,Zona Umt
75	93	4	806.451612903226	[223]Oportunitate! Apartament situat aproape de centrele universitare!
50	62	3	806.451612903226	[213]3 camere la 5 minute de Billa, Kaufland!
55	68	3	808.823529411765	[218]Soarelui-bloc reabilitat, decomandat , 2 bai-2balcoane , centrala
89	110	5	809.090909090909	[179]Apartament amenajat zona Take Ionescu
